DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22,DrugName,AssociatedDiseases1_Name,AssociatedDiseases2_Name,AssociatedDiseases3_Name,AssociatedDiseases4_Name,AssociatedDiseases5_Name,AssociatedDiseases6_Name,AssociatedDiseases7_Name,AssociatedDiseases8_Name,AssociatedDiseases9_Name,AssociatedDiseases10_Name,AssociatedDiseases11_Name,AssociatedDiseases12_Name,AssociatedDiseases13_Name,AssociatedDiseases14_Name,AssociatedDiseases15_Name,AssociatedDiseases16_Name,AssociatedDiseases17_Name,AssociatedDiseases18_Name,AssociatedDiseases19_Name,AssociatedDiseases20_Name,AssociatedDiseases21_Name,AssociatedDiseases22_Name
DB00122,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,DB00122,OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,OSTEOARTHRITIS SUSCEPTIBILITY 1; OS1,D208230,D607459,OSTEOARTHRITIS SUSCEPTIBILITY 3; OS3,,,,,,,,,,,,,,,,
DB00125,1,D220120,,,,,,,,,,,,,,,,,,,,,,DB00125,D-GLYCERIC ACIDURIA,,,,,,,,,,,,,,,,,,,,,
DB00126,3,D206200,D240400,D250790,,,,,,,,,,,,,,,,,,,,DB00126,IRON-REFRACTORY IRON DEFICIENCY ANEMIA; IRIDA,HYPOASCORBEMIA,METHEMOGLOBINEMIA AND AMBIGUOUS GENITALIA; METAG,,,,,,,,,,,,,,,,,,,
DB00131,1,D194200,,,,,,,,,,,,,,,,,,,,,,DB00131,D194200,,,,,,,,,,,,,,,,,,,,,
DB00136,3,D146255,D277440,D277460,,,,,,,,,,,,,,,,,,,,DB00136,"HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DYSPLASIA SYNDROME; HDRS","VITAMIN D-DEPENDENT RICKETS, TYPE 2A; VDDR2A",ATAXIA WITH VITAMIN E DEFICIENCY; AVED,,,,,,,,,,,,,,,,,,,
DB00140,1,D145590,,,,,,,,,,,,,,,,,,,,,,DB00140,D145590,,,,,,,,,,,,,,,,,,,,,
DB00153,4,D146255,D241519,D259660,D277440,,,,,,,,,,,,,,,,,,,DB00153,"HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DYSPLASIA SYNDROME; HDRS","HYPOPHOSPHATEMIA, RENAL, WITH INTRACEREBRAL CALCIFICATIONS",MOVED TO 259775,"VITAMIN D-DEPENDENT RICKETS, TYPE 2A; VDDR2A",,,,,,,,,,,,,,,,,,
DB00160,1,D261515,,,,,,,,,,,,,,,,,,,,,,DB00160,D-BIFUNCTIONAL PROTEIN DEFICIENCY,,,,,,,,,,,,,,,,,,,,,
DB00162,2,D115300,D277350,,,,,,,,,,,,,,,,,,,,,DB00162,D115300,"HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,
DB00163,9,D104300,D125320,D200170,D230450,D231900,D266120,D277460,D605055,D606703,,,,,,,,,,,,,,DB00163,"ALZHEIMER DISEASE, FAMILIAL, 1; AD1",DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,D200170,"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 7; CNSHA7",D231900,"ANEMIA, CONGENITAL, NONSPHEROCYTIC HEMOLYTIC, 8; CNSHA8",ATAXIA WITH VITAMIN E DEFICIENCY; AVED,"ALZHEIMER DISEASE, FAMILIAL EARLY-ONSET, WITH COEXISTING AMYLOID AND PRION PATHOLOGY","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL DOMINANT; DSKOD",,,,,,,,,,,,,
DB00165,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,,DB00165,D217200,"HYPERPHOSPHATEMIA, POLYURIA, AND SEIZURES",,,,,,,,,,,,,,,,,,,,
DB00167,4,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,,,,,,DB00167,D225740,D225755,"PERIPHERAL NEUROPATHY, ATAXIA, FOCAL NECROTIZING ENCEPHALOPATHY, AND SPONGY DEGENERATION OF BRAIN","ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",,,,,,,,,,,,,,,,,,
DB00169,3,D102500,D166710,D266600,,,,,,,,,,,,,,,,,,,,DB00169,D102500,OSTEOPOROSIS,INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1; IBD1,,,,,,,,,,,,,,,,,,,
DB00175,2,D144010,D601367,,,,,,,,,,,,,,,,,,,,,DB00175,D144010,D601367,,,,,,,,,,,,,,,,,,,,
DB00176,2,D164230,D167870,,,,,,,,,,,,,,,,,,,,,DB00176,D164230,D167870,,,,,,,,,,,,,,,,,,,,
DB00177,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00177,D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00178,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00178,"HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DYSPLASIA SYNDROME; HDRS","RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,
DB00179,1,D106400,,,,,,,,,,,,,,,,,,,,,,DB00179,D106400,,,,,,,,,,,,,,,,,,,,,
DB00180,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,,DB00180,D208550,"ASTHMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,,
DB00181,8,D126200,D128101,D143100,D147530,D189600,D190400,D601042,D607225,,,,,,,,,,,,,,,DB00181,D126200,"DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT; DYT4",HUNTINGTON DISEASE; HD,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,D189600,TRIGEMINAL NEURALGIA,DYSTONIA 9; DYT9,"SPASTIC PARALYSIS, INFANTILE-ONSET ASCENDING; IAHSP",,,,,,,,,,,,,,
DB00182,1,D143465,,,,,,,,,,,,,,,,,,,,,,DB00182,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD,,,,,,,,,,,,,,,,,,,,,
DB00186,3,D167870,D189600,D252320,,,,,,,,,,,,,,,,,,,,DB00186,PANIC DISORDER 1; PAND1,D189600,D252320,,,,,,,,,,,,,,,,,,,
DB00187,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00187,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00188,1,D254500,,,,,,,,,,,,,,,,,,,,,,DB00188,D254500,,,,,,,,,,,,,,,,,,,,,
DB00190,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,DB00190,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1",D125320,D168100,"PARKINSON DISEASE, LATE-ONSET; PD",,,,,,,,,,,,,,,,,,
DB00191,3,D264120,D303110,D601665,,,,,,,,,,,,,,,,,,,,DB00191,PROLACTIN DEFICIENCY WITH OBESITY AND ENLARGED TESTES,CHROMOSOME Xq21 DELETION SYNDROME,OBESITY,,,,,,,,,,,,,,,,,,,
DB00193,2,D102300,D147530,,,,,,,,,,,,,,,,,,,,,DB00193,D102300,D147530,,,,,,,,,,,,,,,,,,,,
DB00195,3,D137750,D161900,D608622,,,,,,,,,,,,,,,,,,,,DB00195,D137750,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D608622,,,,,,,,,,,,,,,,,,,
DB00199,1,D604416,,,,,,,,,,,,,,,,,,,,,,DB00199,"PYOGENIC STERILE ARTHRITIS, PYODERMA GANGRENOSUM, AND ACNE; PAPA",,,,,,,,,,,,,,,,,,,,,
DB00201,5,D136200,D140600,D145590,D147530,D157300,,,,,,,,,,,,,,,,,,DB00201,FLUSHING OF EARS AND SOMNOLENCE,OSTEOARTHRITIS SUSCEPTIBILITY 2; OS2,D145590,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,D157300,,,,,,,,,,,,,,,,,
DB00203,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,,DB00203,D161900,"PULMONARY HYPERTENSION, PRIMARY, 1; PPH1",,,,,,,,,,,,,,,,,,,,
DB00204,3,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,,DB00204,D115000,D607554,D608583,,,,,,,,,,,,,,,,,,,
DB00206,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00206,D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00208,1,D188050,,,,,,,,,,,,,,,,,,,,,,DB00208,THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1,,,,,,,,,,,,,,,,,,,,,
DB00210,1,D604416,,,,,,,,,,,,,,,,,,,,,,DB00210,D604416,,,,,,,,,,,,,,,,,,,,,
DB00211,3,D146500,D157700,D252320,,,,,,,,,,,,,,,,,,,,DB00211,D146500,D157700,"MOTOR NEUROPATHY, PERIPHERAL, WITH DYSAUTONOMIA",,,,,,,,,,,,,,,,,,,
DB00213,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,,DB00213,D109350,D190310,"HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00214,7,D146255,D161900,D166300,D208300,D215140,D600351,D608622,,,,,,,,,,,,,,,,DB00214,D146255,D161900,MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME; MCTO,D208300,GREENBERG DYSPLASIA; GRBGD,"ENTEROPATHY, FAMILIAL, WITH VILLOUS EDEMA AND IMMUNOGLOBULIN G2 DEFICIENCY","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,
DB00215,9,D103780,D131300,D164230,D167870,D182830,D225740,D225755,D260970,D608033,,,,,,,,,,,,,,DB00215,ALCOHOL DEPENDENCE,CAMURATI-ENGELMANN DISEASE; CAEND,OBSESSIVE-COMPULSIVE DISORDER; OCD,PANIC DISORDER 1; PAND1,D182830,D225740,"ENCEPHALOPATHY WITH INTRACRANIAL CALCIFICATION, GROWTH HORMONE DEFICIENCY, MICROCEPHALY, AND RETINAL DEGENERATION","PERIPHERAL NEUROPATHY, ATAXIA, FOCAL NECROTIZING ENCEPHALOPATHY, AND SPONGY DEGENERATION OF BRAIN","ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",,,,,,,,,,,,,
DB00216,6,D157300,D300125,D607498,D607501,D607508,D607516,,,,,,,,,,,,,,,,,DB00216,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",D300125,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 3",D607501,D607508,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 6",,,,,,,,,,,,,,,,
DB00218,1,D208550,,,,,,,,,,,,,,,,,,,,,,DB00218,D208550,,,,,,,,,,,,,,,,,,,,,
DB00221,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00221,"ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE","BERRY ANEURYSM, CIRRHOSIS, PULMONARY EMPHYSEMA, AND CEREBRAL CALCIFICATION","ASTHMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00222,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00222,D125850,D125851,TYPE 2 DIABETES MELLITUS; T2D,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3; MODY3",,,,,,,,,,,,,,,,,,
DB00226,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00226,D161900,"HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00227,2,D144010,D608320,,,,,,,,,,,,,,,,,,,,,DB00227,"HYPERCHOLESTEROLEMIA, FAMILIAL, 2; FHCL2","CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT, 1; ADCAD1",,,,,,,,,,,,,,,,,,,,
DB00230,3,D102300,D147530,D165199,,,,,,,,,,,,,,,,,,,,DB00230,D102300,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,D165199,,,,,,,,,,,,,,,,,,,
DB00232,1,D215140,,,,,,,,,,,,,,,,,,,,,,DB00232,GREENBERG DYSPLASIA; GRBGD,,,,,,,,,,,,,,,,,,,,,
DB00240,1,D233810,,,,,,,,,,,,,,,,,,,,,,DB00240,D233810,,,,,,,,,,,,,,,,,,,,,
DB00241,2,D145590,D157300,,,,,,,,,,,,,,,,,,,,,DB00241,D145590,D157300,,,,,,,,,,,,,,,,,,,,
DB00242,5,D109543,D126200,D151400,D258360,D276300,,,,,,,,,,,,,,,,,,DB00242,"LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2",D126200,"LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL",ONYCHOTRICHODYSPLASIA AND NEUTROPENIA,MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1,,,,,,,,,,,,,,,,,
DB00244,1,D266600,,,,,,,,,,,,,,,,,,,,,,DB00244,INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1; IBD1,,,,,,,,,,,,,,,,,,,,,
DB00245,3,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,,DB00245,DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,"PARALYSIS AGITANS, JUVENILE, OF HUNT",D168600,,,,,,,,,,,,,,,,,,,
DB00246,2,D137580,D181500,,,,,,,,,,,,,,,,,,,,,DB00246,D137580,D181500,,,,,,,,,,,,,,,,,,,,
DB00248,1,D600634,,,,,,,,,,,,,,,,,,,,,,DB00248,D600634,,,,,,,,,,,,,,,,,,,,,
DB00252,4,D104130,D115000,D165199,D217200,,,,,,,,,,,,,,,,,,,DB00252,D104130,VENTRICULAR ARRHYTHMIAS DUE TO CARDIAC RYANODINE RECEPTOR CALCIUM RELEASE DEFICIENCY SYNDROME; VACRDS,"OPTIC ATROPHY, HEARING LOSS, AND PERIPHERAL NEUROPATHY, AUTOSOMAL DOMINANT",D217200,,,,,,,,,,,,,,,,,,
DB00255,1,D276300,,,,,,,,,,,,,,,,,,,,,,DB00255,D276300,,,,,,,,,,,,,,,,,,,,,
DB00257,2,D114580,D212050,,,,,,,,,,,,,,,,,,,,,DB00257,D114580,"IMMUNODEFICIENCY 103, SUSCEPTIBILITY TO FUNGAL INFECTIONS; IMD103",,,,,,,,,,,,,,,,,,,,
DB00262,7,D109543,D137800,D236000,D247640,D254500,D267730,D276300,,,,,,,,,,,,,,,,DB00262,"LEUKEMIA, CHRONIC LYMPHOCYTIC, SUSCEPTIBILITY TO, 2",GLIOMA SUSCEPTIBILITY 1; GLM1,"LYMPHOMA, HODGKIN, CLASSIC; CHL","LYMPHOBLASTIC LEUKEMIA, ACUTE, WITH LYMPHOMATOUS FEATURES; LALL","MYELOMA, MULTIPLE",RETICULUM CELL SARCOMA,D276300,,,,,,,,,,,,,,,
DB00264,7,D110100,D157700,D161900,D190300,D607554,D608583,D608622,,,,,,,,,,,,,,,,DB00264,"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",D157700,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1",D190300,"ATRIAL FIBRILLATION, FAMILIAL, 3; ATFB3","ATRIAL FIBRILLATION, FAMILIAL, 1; ATFB1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,
DB00268,4,D102300,D125320,D168100,D168600,,,,,,,,,,,,,,,,,,,DB00268,"RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 1; RLS1",DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,D168100,"PARKINSON DISEASE, LATE-ONSET; PD",,,,,,,,,,,,,,,,,,
DB00270,3,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,,DB00270,D161900,D179600,D608622,,,,,,,,,,,,,,,,,,,
DB00273,7,D147530,D157300,D264120,D300125,D308350,D605021,D607499,,,,,,,,,,,,,,,,DB00273,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,D157300,D264120,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 2",D308350,D605021,"BULIMIA NERVOSA, SUSCEPTIBILITY TO; BULN",,,,,,,,,,,,,,,
DB00275,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00275,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00277,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,,DB00277,D208550,D210050,"ASTHMA, SUSCEPTIBILITY TO",,,,,,,,,,,,,,,,,,,
DB00278,1,D188050,,,,,,,,,,,,,,,,,,,,,,DB00278,THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1,,,,,,,,,,,,,,,,,,,,,
DB00279,4,D138800,D140300,D255900,D275000,,,,,,,,,,,,,,,,,,,DB00279,D138800,HASHIMOTO THYROIDITIS; HT,MYXEDEMA,GRAVES DISEASE; GRD,,,,,,,,,,,,,,,,,,
DB00280,1,D115000,,,,,,,,,,,,,,,,,,,,,,DB00280,D115000,,,,,,,,,,,,,,,,,,,,,
DB00281,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00281,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,,,,,,,,,,,,,,,,,,,,,
DB00282,9,D102400,D102500,D114480,D143880,D166300,D166710,D167320,D254500,D276300,,,,,,,,,,,,,,DB00282,ACROOSTEOLYSIS,D102500,D114480,D143880,D166300,D166710,D167320,D254500,MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1,,,,,,,,,,,,,
DB00284,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,,DB00284,D125850,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2; MODY2",TYPE 2 DIABETES MELLITUS; T2D,D600496,,,,,,,,,,,,,,,,,,
DB00285,6,D131300,D143465,D147530,D164230,D167870,D607499,,,,,,,,,,,,,,,,,DB00285,D131300,D143465,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,OBSESSIVE-COMPULSIVE DISORDER; OCD,PANIC DISORDER 1; PAND1,"BULIMIA NERVOSA, SUSCEPTIBILITY TO; BULN",,,,,,,,,,,,,,,,
DB00286,7,D102500,D114480,D176807,D192000,D215470,D311360,D601518,,,,,,,,,,,,,,,,DB00286,D102500,D114480,PROSTATE CANCER,UTERINE ANOMALIES,BOUCHER-NEUHAUSER SYNDROME; BNHS,PREMATURE OVARIAN FAILURE 1; POF1,D601518,,,,,,,,,,,,,,,
DB00287,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,,DB00287,D137750,D137760,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","GLAUCOMA 1, PRIMARY OPEN ANGLE, C; GLC1C",,,,,,,,,,,,,,,,,,
DB00289,1,D143465,,,,,,,,,,,,,,,,,,,,,,DB00289,D143465,,,,,,,,,,,,,,,,,,,,,
DB00290,7,D109543,D155600,D155601,D236000,D247640,D267730,D273300,,,,,,,,,,,,,,,,DB00290,D109543,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 1; CMM1",D155601,"LYMPHOMA, HODGKIN, CLASSIC; CHL",D247640,D267730,D273300,,,,,,,,,,,,,,,
DB00295,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00295,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,,,,,,,,,,,,,,,,,,,,,
DB00297,1,D147530,,,,,,,,,,,,,,,,,,,,,,DB00297,D147530,,,,,,,,,,,,,,,,,,,,,
DB00302,5,D134430,D134500,D134510,D134520,D227300,,,,,,,,,,,,,,,,,,DB00302,D134430,D134500,"FACTOR VIII AND FACTOR IX, COMBINED DEFICIENCY OF; F8F9D",D134520,"FACTOR V AND FACTOR VIII, COMBINED DEFICIENCY OF, 1; F5F8D1",,,,,,,,,,,,,,,,,
DB00304,3,D131200,D184700,D192000,,,,,,,,,,,,,,,,,,,,DB00304,D131200,POLYCYSTIC OVARY SYNDROME 1; PCOS1,UTERINE ANOMALIES,,,,,,,,,,,,,,,,,,,
DB00305,2,D109800,D137215,,,,,,,,,,,,,,,,,,,,,DB00305,D109800,DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME; DGLBC,,,,,,,,,,,,,,,,,,,,
DB00307,2,D254400,D276300,,,,,,,,,,,,,,,,,,,,,DB00307,D254400,MISMATCH REPAIR CANCER SYNDROME 1; MMRCS1,,,,,,,,,,,,,,,,,,,,
DB00308,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,,DB00308,"ATRIAL FIBRILLATION, FAMILIAL, 3; ATFB3","ATRIAL FIBRILLATION, FAMILIAL, 1; ATFB1",,,,,,,,,,,,,,,,,,,,
DB00310,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,,DB00310,"RENAL FAILURE, PROGRESSIVE, WITH HYPERTENSION; RFH1","HYPERTENSION, DIASTOLIC, RESISTANCE TO",,,,,,,,,,,,,,,,,,,,
DB00313,7,D104130,D104300,D125320,D181500,D217200,D239350,D605055,,,,,,,,,,,,,,,,DB00313,D104130,"ALZHEIMER DISEASE, FAMILIAL, 1; AD1",DEMENTIA/PARKINSONISM WITH NON-ALZHEIMER AMYLOID PLAQUES,SCHIZOPHRENIA; SCZD,D217200,"HYPERPHOSPHATEMIA, POLYURIA, AND SEIZURES",D605055,,,,,,,,,,,,,,,
DB00315,1,D157300,,,,,,,,,,,,,,,,,,,,,,DB00315,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1",,,,,,,,,,,,,,,,,,,,,
DB00316,5,D140600,D145590,D147530,D157300,D608088,,,,,,,,,,,,,,,,,,DB00316,D140600,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA",D147530,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX",,,,,,,,,,,,,,,,,
DB00318,3,D140600,D145590,D608088,,,,,,,,,,,,,,,,,,,,DB00318,D140600,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX",,,,,,,,,,,,,,,,,,,
DB00320,3,D145590,D157300,D300125,,,,,,,,,,,,,,,,,,,,DB00320,"HYPERTHERMIA, CUTANEOUS, WITH HEADACHES AND NAUSEA","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1","MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 2",,,,,,,,,,,,,,,,,,,
DB00321,3,D144110,D147530,D252320,,,,,,,,,,,,,,,,,,,,DB00321,HYPERHIDROSIS PALMARIS ET PLANTARIS; HYPRPP,INSENSITIVITY TO PAIN WITH HYPERPLASTIC MYELINOPATHY,"MOTOR NEUROPATHY, PERIPHERAL, WITH DYSAUTONOMIA",,,,,,,,,,,,,,,,,,,
DB00323,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,,DB00323,D168100,D168600,,,,,,,,,,,,,,,,,,,,
