DrugID,DiseaseCount,AssociatedDiseases1,AssociatedDiseases2,AssociatedDiseases3,AssociatedDiseases4,AssociatedDiseases5,AssociatedDiseases6,AssociatedDiseases7,AssociatedDiseases8,AssociatedDiseases9,AssociatedDiseases10,AssociatedDiseases11,AssociatedDiseases12,AssociatedDiseases13,AssociatedDiseases14,AssociatedDiseases15,AssociatedDiseases16,AssociatedDiseases17,AssociatedDiseases18,AssociatedDiseases19,AssociatedDiseases20,AssociatedDiseases21,AssociatedDiseases22
DB00482,10,D135550,D140600,D147530,D165720,D175100,D175505,D208230,D246470,D607459,D607850,,,,,,,,,,,,
DB00484,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00489,2,D607554,D608583,,,,,,,,,,,,,,,,,,,,
DB00490,6,D104130,D156190,D165150,D167870,D259050,D300232,,,,,,,,,,,,,,,,
DB00491,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00492,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00494,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB00497,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00499,1,D176807,,,,,,,,,,,,,,,,,,,,,
DB00500,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,
DB00501,4,D109350,D190310,D264120,D304790,,,,,,,,,,,,,,,,,,
DB00502,4,D127750,D137580,D181500,D182830,,,,,,,,,,,,,,,,,,
DB00508,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,
DB00510,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,
DB00514,2,D145590,D608088,,,,,,,,,,,,,,,,,,,,
DB00515,9,D109800,D133239,D182280,D236000,D254500,D256700,D259500,D273300,D276300,,,,,,,,,,,,,
DB00519,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00521,3,D137750,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00523,1,D148000,,,,,,,,,,,,,,,,,,,,,
DB00524,3,D161900,D215140,D608622,,,,,,,,,,,,,,,,,,,
DB00527,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00530,1,D144700,,,,,,,,,,,,,,,,,,,,,
DB00532,1,D104130,,,,,,,,,,,,,,,,,,,,,
DB00533,1,D157300,,,,,,,,,,,,,,,,,,,,,
DB00535,2,D166760,D208550,,,,,,,,,,,,,,,,,,,,
DB00536,3,D113610,D218200,D312910,,,,,,,,,,,,,,,,,,,
DB00537,5,D145590,D166760,D208550,D258360,D266600,,,,,,,,,,,,,,,,,
DB00540,6,D143465,D147530,D167870,D252320,D600631,D600808,,,,,,,,,,,,,,,,
DB00541,13,D109543,D194070,D223350,D236000,D246470,D247640,D254500,D256700,D267730,D268220,D276300,D601608,D601626,,,,,,,,,
DB00542,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00544,5,D106400,D114480,D114500,D137215,D276300,,,,,,,,,,,,,,,,,
DB00545,2,D252320,D254200,,,,,,,,,,,,,,,,,,,,
DB00547,1,D233810,,,,,,,,,,,,,,,,,,,,,
DB00548,1,D604416,,,,,,,,,,,,,,,,,,,,,
DB00549,1,D208550,,,,,,,,,,,,,,,,,,,,,
DB00550,1,D275000,,,,,,,,,,,,,,,,,,,,,
DB00552,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB00554,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,
DB00555,4,D102100,D181500,D217200,D239350,,,,,,,,,,,,,,,,,,
DB00557,2,D145590,D147530,,,,,,,,,,,,,,,,,,,,
DB00559,2,D161900,D178600,,,,,,,,,,,,,,,,,,,,
DB00563,22,D109543,D109800,D114480,D114500,D133239,D137215,D151590,D182280,D208920,D223350,D231090,D233810,D236000,D246470,D247640,D254400,D259500,D267730,D268220,D273300,D276300,D601626
DB00564,6,D102300,D104130,D128101,D165199,D181500,D190400,,,,,,,,,,,,,,,,
DB00569,1,D188050,,,,,,,,,,,,,,,,,,,,,
DB00570,7,D114480,D148000,D188030,D236000,D254400,D273300,D276300,,,,,,,,,,,,,,,
DB00571,10,D110100,D115000,D140850,D157300,D157700,D161900,D171300,D190300,D300125,D608622,,,,,,,,,,,,
DB00572,2,D190310,D226150,,,,,,,,,,,,,,,,,,,,
DB00573,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00575,10,D102300,D137580,D143465,D144110,D147530,D161900,D171300,D601042,D607554,D608622,,,,,,,,,,,,
DB00580,5,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,,
DB00583,1,D212140,,,,,,,,,,,,,,,,,,,,,
DB00584,2,D146255,D608622,,,,,,,,,,,,,,,,,,,,
DB00585,4,D109350,D190310,D304790,D600263,,,,,,,,,,,,,,,,,,
DB00586,9,D106400,D140600,D147530,D150600,D165720,D208230,D308205,D607459,D607850,,,,,,,,,,,,,
DB00588,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00590,6,D147530,D161900,D179600,D200170,D600082,D608622,,,,,,,,,,,,,,,,
DB00591,1,D603165,,,,,,,,,,,,,,,,,,,,,
DB00593,1,D217200,,,,,,,,,,,,,,,,,,,,,
DB00594,4,D161900,D208300,D215140,D608622,,,,,,,,,,,,,,,,,,
DB00596,1,D233810,,,,,,,,,,,,,,,,,,,,,
DB00598,5,D110100,D157700,D161900,D171300,D608622,,,,,,,,,,,,,,,,,
DB00603,5,D102500,D131200,D144700,D192000,D605839,,,,,,,,,,,,,,,,,
DB00604,1,D304790,,,,,,,,,,,,,,,,,,,,,
DB00605,8,D133690,D140600,D147530,D165720,D175100,D208230,D607459,D607850,,,,,,,,,,,,,,
DB00608,1,D181000,,,,,,,,,,,,,,,,,,,,,
DB00611,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00612,2,D110100,D157700,,,,,,,,,,,,,,,,,,,,
DB00619,4,D131440,D247640,D276300,D607685,,,,,,,,,,,,,,,,,,
DB00620,13,D104130,D114580,D133600,D147540,D148100,D151590,D152700,D165199,D173200,D181000,D188030,D208550,D223350,,,,,,,,,
DB00622,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00623,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00624,3,D114480,D215470,D241100,,,,,,,,,,,,,,,,,,,
DB00627,2,D144010,D144650,,,,,,,,,,,,,,,,,,,,
DB00630,5,D102500,D150600,D166710,D167320,D602080,,,,,,,,,,,,,,,,,
DB00631,1,D247640,,,,,,,,,,,,,,,,,,,,,
DB00635,22,D109100,D125600,D126200,D133600,D143880,D146850,D147540,D151590,D152700,D157300,D181000,D188030,D205700,D208550,D208920,D223350,D233810,D247640,D254400,D276300,D304790,D600351
DB00636,1,D144650,,,,,,,,,,,,,,,,,,,,,
DB00637,1,D147540,,,,,,,,,,,,,,,,,,,,,
DB00640,1,D194200,,,,,,,,,,,,,,,,,,,,,
DB00641,1,D144010,,,,,,,,,,,,,,,,,,,,,
DB00642,1,D276300,,,,,,,,,,,,,,,,,,,,,
DB00644,1,D146110,,,,,,,,,,,,,,,,,,,,,
DB00647,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00650,3,D114500,D176800,D259500,,,,,,,,,,,,,,,,,,,
DB00651,3,D208550,D210050,D600807,,,,,,,,,,,,,,,,,,,
DB00652,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00653,5,D127350,D189800,D217200,D239350,D248190,,,,,,,,,,,,,,,,,
DB00654,4,D137750,D137760,D161900,D601682,,,,,,,,,,,,,,,,,,
DB00655,2,D215470,D311360,,,,,,,,,,,,,,,,,,,,
DB00657,4,D137580,D145500,D161900,D608622,,,,,,,,,,,,,,,,,,
DB00659,1,D103780,,,,,,,,,,,,,,,,,,,,,
DB00661,8,D115000,D115195,D157300,D161900,D200170,D607554,D608583,D608622,,,,,,,,,,,,,,
DB00668,6,D137750,D137760,D147540,D208550,D600807,D601682,,,,,,,,,,,,,,,,
DB00669,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,
DB00672,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00674,3,D104300,D125320,D605055,,,,,,,,,,,,,,,,,,,
DB00675,2,D114480,D174800,,,,,,,,,,,,,,,,,,,,
DB00678,4,D145500,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,
DB00679,1,D181500,,,,,,,,,,,,,,,,,,,,,
DB00682,6,D107320,D125310,D540000,D601367,D607554,D608583,,,,,,,,,,,,,,,,
DB00686,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00687,2,D157700,D252320,,,,,,,,,,,,,,,,,,,,
DB00691,3,D146255,D161900,D608622,,,,,,,,,,,,,,,,,,,
DB00692,6,D155100,D161900,D171300,D231200,D273800,D608622,,,,,,,,,,,,,,,,
DB00694,5,D148000,D223350,D247640,D276300,D601626,,,,,,,,,,,,,,,,,
DB00695,11,D143880,D146255,D161900,D166300,D203700,D208300,D210050,D215140,D256370,D600351,D608622,,,,,,,,,,,
DB00696,2,D157300,D300125,,,,,,,,,,,,,,,,,,,,
DB00697,5,D157300,D160750,D190400,D200170,D601042,,,,,,,,,,,,,,,,,
DB00704,1,D103780,,,,,,,,,,,,,,,,,,,,,
DB00706,4,D147530,D200170,D310468,D600082,,,,,,,,,,,,,,,,,,
DB00707,1,D133239,,,,,,,,,,,,,,,,,,,,,
DB00710,2,D102500,D166710,,,,,,,,,,,,,,,,,,,,
DB00712,7,D103100,D140600,D153880,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,
DB00714,2,D168100,D168600,,,,,,,,,,,,,,,,,,,,
DB00715,4,D131300,D164230,D167870,D252320,,,,,,,,,,,,,,,,,,
DB00716,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00717,6,D102500,D131200,D184700,D192000,D215470,D604416,,,,,,,,,,,,,,,,
DB00721,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00722,5,D125310,D146255,D161900,D608320,D608622,,,,,,,,,,,,,,,,,
DB00724,1,D106400,,,,,,,,,,,,,,,,,,,,,
DB00727,2,D179600,D189800,,,,,,,,,,,,,,,,,,,,
DB00731,4,D125850,D125851,D125853,D600496,,,,,,,,,,,,,,,,,,
DB00733,1,D254200,,,,,,,,,,,,,,,,,,,,,
DB00734,8,D137580,D181500,D182830,D225740,D225755,D260970,D300494,D608033,,,,,,,,,,,,,,
DB00736,3,D109350,D190310,D600263,,,,,,,,,,,,,,,,,,,
DB00741,3,D125600,D166760,D233810,,,,,,,,,,,,,,,,,,,
DB00744,2,D208550,D600807,,,,,,,,,,,,,,,,,,,,
DB00745,4,D107650,D126200,D136200,D143465,,,,,,,,,,,,,,,,,,
DB00747,7,D107550,D125320,D158280,D168100,D168600,D190310,D226150,,,,,,,,,,,,,,,
DB00749,6,D140600,D147530,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
DB00750,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00754,2,D217200,D239350,,,,,,,,,,,,,,,,,,,,
DB00755,6,D145100,D145200,D151590,D182000,D276300,D604416,,,,,,,,,,,,,,,,
DB00757,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00758,3,D125310,D540000,D601367,,,,,,,,,,,,,,,,,,,
DB00759,3,D137400,D600263,D604416,,,,,,,,,,,,,,,,,,,
DB00762,4,D114500,D223350,D246470,D276300,,,,,,,,,,,,,,,,,,
DB00763,1,D275000,,,,,,,,,,,,,,,,,,,,,
DB00764,3,D208550,D233810,D600807,,,,,,,,,,,,,,,,,,,
DB00765,1,D171300,,,,,,,,,,,,,,,,,,,,,
DB00767,1,D145590,,,,,,,,,,,,,,,,,,,,,
DB00771,2,D191390,D226150,,,,,,,,,,,,,,,,,,,,
DB00773,4,D182280,D236000,D273300,D276300,,,,,,,,,,,,,,,,,,
DB00775,1,D608320,,,,,,,,,,,,,,,,,,,,,
DB00776,11,D208700,D217200,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,,,,,,,
DB00783,5,D102500,D114480,D176807,D215470,D311360,,,,,,,,,,,,,,,,,
DB00787,1,D268320,,,,,,,,,,,,,,,,,,,,,
DB00788,12,D133600,D133690,D140600,D145590,D147530,D150600,D157300,D165720,D208230,D252320,D607459,D607850,,,,,,,,,,
DB00790,3,D125310,D146255,D608320,,,,,,,,,,,,,,,,,,,
DB00794,17,D121201,D132090,D132100,D132300,D190300,D190310,D208700,D217200,D267740,D300491,D600131,D604827,D607628,D607631,D607681,D607682,D608105,,,,,
DB00795,2,D104130,D266600,,,,,,,,,,,,,,,,,,,,
DB00796,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00800,2,D161900,D608622,,,,,,,,,,,,,,,,,,,,
DB00804,2,D304790,D600351,,,,,,,,,,,,,,,,,,,,
DB00806,4,D125310,D188050,D540000,D601367,,,,,,,,,,,,,,,,,,
DB00808,5,D161900,D215140,D256370,D600351,D608622,,,,,,,,,,,,,,,,,
DB00810,2,D125320,D168100,,,,,,,,,,,,,,,,,,,,
DB00813,1,D147530,,,,,,,,,,,,,,,,,,,,,
DB00814,6,D133690,D140600,D165720,D208230,D607459,D607850,,,,,,,,,,,,,,,,
